Item_ID,Positive_Form_Item
EXT1,I am the life of the party.
EXT2,I talk a lot.
EXT3,I feel comfortable around people.
EXT4,I take the lead.
EXT5,I start conversations.
EXT6,I have a lot to say.
EXT7,I talk to a lot of different people at parties.
EXT8,I enjoy drawing attention to myself.
EXT9,I don't mind being the center of attention.
EXT10,I am talkative around strangers.
EST1,I get stressed out easily.
EST2,I get stressed most of the time.
EST3,I worry about things.
EST4,I often feel blue.
EST5,I am easily disturbed.
EST6,I get upset easily.
EST7,I change my mood a lot.
EST8,I have frequent mood swings.
EST9,I get irritated easily.
EST10,I often feel blue.
AGR1,I care about others.
AGR2,I am interested in people.
AGR3,I speak respectfully to others.
AGR4,I sympathize with others' feelings.
AGR5,I am interested in other people's problems.
AGR6,I have a soft heart.
AGR7,I am interested in others.
AGR8,I take time out for others.
AGR9,I feel others' emotions.
AGR10,I make people feel at ease.
CSN1,I am always prepared.
CSN2,I keep my belongings organized.
CSN3,I pay attention to details.
CSN4,I keep things tidy.
CSN5,I get chores done right away.
CSN6,I always return things to their place.
CSN7,I like order.
CSN8,I take responsibility for my duties.
CSN9,I follow a schedule.
CSN10,I am exacting in my work.
OPN1,I have a rich vocabulary.
OPN2,I understand abstract ideas easily.
OPN3,I have a vivid imagination.
OPN4,I am interested in abstract ideas.
OPN5,I have excellent ideas.
OPN6,I have a good imagination.
OPN7,I am quick to understand things.
OPN8,I use difficult words.
OPN9,I spend time reflecting on things.
OPN10,I am full of ideas.
